state,issuer,dated_date,series,corp_project,deal_amount,sale_date,first_coupon_date,first_call_date,issue_type,offering_type,security_type,tax_status,bank_qualified,moody_rating,sp_rating,fitch_rating,bond_insurance,lead_manager,paying_agent,deal_id
AZ,ARIZONA INDL DEV AUTH REV,12/14/2017,2017-B,Arizona Agribusiness & Equine Center Inc Project/Arizona Agribusiness & Equine Center Inc Project,"$18,875,000.00",11/30/2017,03/01/2018,09/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB+ / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANK,0x001035C81C690199
AZ,ARIZONA INDL DEV AUTH REV,12/14/2017,2017-A,Arizona Agribusiness & Equine Center Inc Project/Arizona Agribusiness & Equine Center Inc Project,"$5,120,000.00",11/30/2017,03/01/2018,09/01/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANK,0x001035C71C690196
AZ,ARIZONA INDL DEV AUTH REV,12/21/2017,2017-G,Basis Schools Projects/Basis Schools Projects,"$25,705,000.00",12/14/2017,07/01/2018,07/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,BOKF NA,0x001035D4CE73014D
AZ,ARIZONA INDL DEV AUTH REV,12/27/2017,2017-A,Leman Academy of Excellence Projects/Leman Academy of Excellence Projects,"$30,680,000.00",12/08/2017,07/01/2018,07/01/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER JAFFRAY AND CO,UMB BANK NA,0x001035F3806F0138
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,12/28/2017,2017-A,UME Preparatory Academy/UME Preparatory Academy,"$21,730,000.00",12/14/2017,08/15/2018,08/15/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANK,0x00103549D37201CC
NY,BUILD NYC RESOURCE CORP N Y REV,12/22/2017,2017-A,Metropolitan Lighthouse Charter School Project/Metropolitan Lighthouse Charter School Project,"$24,895,000.00",12/07/2017,06/01/2018,06/01/2025,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER JAFFRAY AND CO,BANK OF NEW YORK MELLON,0x001035AD966E0171
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/18/2017,2017-H,Rocketship Public Schools - Obligated Group/Rocketship Public Schools - Obligated Group,"$665,000.00",12/01/2017,06/01/2018,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035F5086C01B5
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/18/2017,2017-G,Rocketship Public Schools - Obligated Group/Rocketship Public Schools - Obligated Group,"$15,560,000.00",12/01/2017,06/01/2018,06/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x00103583056C01CE
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/21/2017,2017,Bright Star Schools-Obligated Group/Bright Star Schools-Obligated Group,"$24,965,000.00",12/12/2017,06/01/2018,06/01/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035E3AA71011C
CA,CALIFORNIA SCH FIN AUTH EDL FACS REV,12/28/2017,2017-A,River Springs Charter School/River Springs Charter School,"$23,335,000.00",12/14/2017,07/01/2018,07/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Ba1 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,US BANK TRUST CO NA,0x001035B8217401C9
