cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
74442EFR6,2055-06-15,2680000.0,7.75,93.0,8.373,697.3,,0x0010351764450417,78.1090654976,10.0776438399,545.8,,MATY,6700000.0
744396EG3,2044-07-15,4460000.0,6.75,100.0,6.75,447.0,,0x00103512B63C02BF,84.1380387303,8.4402191829,412.0,,MATY,6690000.0
74442EFG0,2050-06-15,5350000.0,6.5,100.0,6.5,487.0,,0x001035C2FA94038A,85.6729276866,7.8132876742,326.3,,MATY,6687500.0
74442EJV3,2025-08-01,2970000.0,7.5,100.0,7.5,434.4,558.6,0x0010354426AA06EB,99.9203326239,9.3319643909,687.2,687.2,MATY,6682500.0
50376FAZ0,2049-09-01,5345000.0,6.5,100.0,6.5,415.0,,0x001035A725BD0218,,,,,,6681250.0
34061UMA3,2038-06-15,5210000.0,6.5,100.0,6.5,266.0,,0x001035B0FC210941,109.9943466655,4.7455479479,105.6,105.6,PRMC,6512500.0
04052BTQ7,2053-02-01,4000000.0,6.875,100.0,6.875,235.50000000000006,,0x00106AA587DD0386,,,,,,6500000.0
04052BHH0,2039-06-01,5760000.0,6.375,100.0,6.375,346.5,,0x0010359D1B0302A2,62.95,11.8879363222,809.8,,MATY,6480000.0
13058TRJ1,2062-07-01,6465000.0,6.25,97.836,6.4,267.0,,0x001035B8D9F506B7,96.9872883796,6.465,184.5,,MATY,6465000.0
83704MDL7,2058-06-15,2155000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,6465000.0
744396DK5,2048-07-01,3670000.0,7.0,100.0,7.0,405.0,,0x001035E163A70101,84.7137112086,8.5276849329,402.8,,MATY,6422500.0
14043RAC4,2042-06-15,1690000.0,9.0,100.0,9.0,445.0,,0x00106A6072A403CF,,,,,,6337500.0
02757GAA3,2046-12-01,3600000.0,7.0,100.0,7.0,418.0,,0x001035790A250172,101.3416171652,6.3775753396,195.8,,PARC,6300000.0
04052BJG0,2039-06-15,4940000.0,6.5,100.0,6.5,436.0,,0x001035CBAF3C027F,102.4377639013,5.7930274001,200.3,,PRMC,6175000.0
50376HAH6,2031-06-15,2240000.0,8.0,99.301,8.125,398.50000000000006,568.5,0x0010351C05B9098C,,,,,,6160000.0
52349KBT2,2033-06-15,2445000.0,7.75,100.0,7.75,359.99999999999994,529.0,0x001035A3CEBD09FC,,,,,,6112500.0
74442EHX1,2062-06-15,3655000.0,6.897,93.5,7.404,538.4,,0x0010357527100661,,,,,,6019785.000000001
744396JU7,2053-06-15,3420000.0,7.0,100.858,6.875,288.0,,0x001035C2C6580970,,,,,,5985000.0
14054YAE1,2031-06-01,3985000.0,6.75,100.0,6.75,307.0,417.0,0x00106A9CF2120107,,,,,,5977500.0
546399PM2,2052-06-01,5940000.0,6.25,99.722,6.27,309.0,,0x0010356028A306C8,,,,,,5940000.0
546399PH3,2052-06-01,5270000.0,6.375,99.134,6.44,319.0,,0x001035E2C89B0692,,,,,,5928750.0
14054WAS4,2044-06-15,3380000.0,7.0,99.46,7.05,358.0,,0x00106A9DE5470045,97.3750256833,7.2564383563,293.6,,MATY,5915000.0
74442EGX2,2051-12-01,5825000.0,6.25,100.0,6.25,472.0,,0x00103520A15005F1,99.6797636587,6.2742876703,170.4,,MATY,5825000.0
